Model,Recall (test),Precision (test),F1 (test),PR-AUC (test),ROC-AUC (test)
Logistic Regression,0.6088362068965517,0.4015636105188344,0.48394004282655245,0.43746708261075434,0.7949222804956306
Gradient Boosting,0.4827586206896552,0.5039370078740157,0.49312052834342324,0.44185066013087354,0.7927399767378216
Decision Tree,0.3448275862068966,0.2895927601809955,0.3148057058534186,0.18258346191167135,0.6206541190098711
Random Forest,0.3394396551724138,0.407503234152652,0.37037037037037035,0.35406614031169636,0.7622105793367684
XGBoost,0.3135775862068966,0.5585412667946257,0.40165631469979296,0.41763926440776655,0.775311405899062
